Positions Over Time - Groww Value Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,5.85918,6.23136,6.2761,6.58551,6.82697,7.03794,7.02256,7.14829,7.37578,7.91904,7.97026
Equity,ICICI Bank,Banks,5.11184,5.47392,5.63863,5.55441,5.34998,5.61099,5.53487,5.86075,6.26672,6.72439,5.95758
Equity,SBI,Banks,5.02662,5.16931,5.71377,5.13405,4.54982,4.59905,4.48243,4.41052,1.77098,1.77978,-
Equity,Bharti Airtel,Telecom-Service,4.53314,4.80429,4.56325,4.79199,4.98106,5.04182,5.01917,4.84941,4.19738,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.15453,4.06885,4.47528,4.12338,4.1615,4.2059,4.24227,6.02034,5.34263,5.46261,4.59455
Equity,Reliance Industr,Refineries,3.98892,4.20334,3.92748,3.94129,4.31082,4.36363,4.21371,4.08619,4.19257,4.34809,4.76315
Equity,Axis Bank,Banks,2.92156,3.00116,3.22183,3.19818,2.87915,2.94351,2.88761,2.80101,1.14879,1.18894,1.35433
Equity,Bank of Baroda,Banks,2.27558,2.39927,1.60448,1.49574,0.48743,-,-,-,-,-,-
Equity,Adani Ports,Marine Port & Services,1.93944,1.72329,-,-,-,-,-,-,-,-,-
Equity,Yatharth Hospit.,Healthcare,1.88877,1.5948,0.98508,0.81721,0.92265,0.97086,-,-,2.02256,1.89724,2.39271
Equity,Manappuram Fin.,Finance,1.84673,1.76741,1.79603,1.80931,1.90607,1.78514,1.7193,1.89306,1.43772,1.40889,1.55595
Equity,Tata Motors PVeh,Automobile,1.80095,1.7522,-,-,-,-,-,-,-,-,-
Equity,SBI Life Insuran,Insurance,1.79071,1.96293,2.0269,3.22414,4.14274,4.059,4.11175,3.9783,4.13646,4.26972,4.32754
Equity,Sobha,Realty,1.71258,1.59159,1.68459,1.7554,1.71673,1.83403,1.96642,1.97905,1.89313,2.14421,1.99394
Equity,Marksans Pharma,Pharmaceuticals,1.64058,1.56401,0.73519,-,-,-,-,-,-,-,-
